PO_ID,Supplier,Order_Date,Delivery_Date,Year_Month,Year,Item_Category,Order_Status,Quantity,Unit_Price,Negotiated_Price,Defective_Units,Compliance,Total_Spend,Total_Negotiated,Savings,Savings_Pct,Defect_Rate_Pct,Is_Compliant,Is_Delivered,Is_Cancelled,Lead_Time_Days,Risk_Tier
PO-00019,Gamma_Co,2023-06-02,2023-06-05,2023-06,2023,Raw Materials,Partially Delivered,1737,97.53,87.37,79,Yes,169409.61,151761.69,17647.92,10.42,4.55,1,0,0,3,Low
PO-00020,Delta_Logistics,2023-09-09,2023-09-24,2023-09,2023,Raw Materials,Delivered,180,45.74,38.89,0,No,8233.2,7000.2,1233.0,14.98,0.0,0,1,0,15,Medium
PO-00021,Epsilon_Group,2022-01-28,2022-02-12,2022-01,2022,Electronics,Cancelled,1735,20.54,19.69,49,Yes,35636.9,34162.15,1474.75,4.14,2.82,1,0,1,15,Low
PO-00022,Delta_Logistics,2023-07-29,2023-08-11,2023-07,2023,Raw Materials,Delivered,1382,24.93,23.75,0,Yes,34453.26,32822.5,1630.76,4.73,0.0,1,1,0,13,Low
PO-00023,Epsilon_Group,2022-07-23,2022-08-08,2022-07,2022,MRO,Delivered,819,80.89,77.03,29,Yes,66248.91,63087.57,3161.34,4.77,3.54,1,1,0,16,Low
PO-00024,Beta_Supplies,2023-10-28,2023-11-03,2023-10,2023,Office Supplies,Partially Delivered,393,72.53,66.31,42,No,28504.29,26059.83,2444.46,8.58,10.69,0,0,0,6,High
PO-00025,Beta_Supplies,2023-12-20,2024-01-01,2023-12,2023,MRO,Delivered,1565,21.3,20.09,161,Yes,33334.5,31440.85,1893.65,5.68,10.29,1,1,0,12,High
PO-00026,Epsilon_Group,2023-07-13,2023-07-24,2023-07,2023,Packaging,Delivered,1487,19.15,17.24,0,Yes,28476.05,25635.88,2840.17,9.97,0.0,1,1,0,11,Low
PO-00027,Alpha_Inc,2023-03-06,2023-03-26,2023-03,2023,MRO,Delivered,855,78.2,67.16,17,Yes,66861.0,57421.8,9439.2,14.12,1.99,1,1,0,20,Low
PO-00028,Epsilon_Group,2022-08-14,2022-08-23,2022-08,2022,Raw Materials,Delivered,435,17.13,15.84,8,Yes,7451.55,6890.4,561.15,7.53,1.84,1,1,0,9,Low
PO-00029,Delta_Logistics,2023-04-05,2023-04-22,2023-04,2023,MRO,Delivered,1265,90.26,79.47,187,Yes,114178.9,100529.55,13649.35,11.95,14.78,1,1,0,17,High
PO-00030,Epsilon_Group,2023-08-27,,2023-08,2023,MRO,Delivered,1005,80.55,73.31,30,Yes,80952.75,73676.55,7276.2,8.99,2.99,1,1,0,,Low
PO-00031,Gamma_Co,2022-10-12,2022-10-26,2022-10,2022,Electronics,Delivered,326,18.1,15.92,0,No,5900.6,5189.92,710.68,12.04,0.0,0,1,0,14,Medium
PO-00032,Alpha_Inc,2022-01-07,2022-01-15,2022-01,2022,Office Supplies,Delivered,1234,17.64,15.66,26,Yes,21767.76,19324.44,2443.32,11.22,2.11,1,1,0,8,Low
PO-00033,Epsilon_Group,2022-06-13,2022-06-29,2022-06,2022,MRO,Delivered,509,101.27,97.82,19,Yes,51546.43,49790.38,1756.05,3.41,3.73,1,1,0,16,Low
PO-00034,Alpha_Inc,2023-12-16,2023-12-17,2023-12,2023,Packaging,Delivered,1387,48.71,43.71,27,Yes,67560.77,60625.77,6935.0,10.26,1.95,1,1,0,1,Low
PO-00035,Alpha_Inc,2023-03-09,2023-03-17,2023-03,2023,MRO,Delivered,71,46.39,43.18,0,Yes,3293.69,3065.78,227.91,6.92,0.0,1,1,0,8,Low
PO-00036,Epsilon_Group,2022-12-15,2022-12-23,2022-12,2022,Office Supplies,Delivered,302,87.73,81.52,9,Yes,26494.46,24619.04,1875.42,7.08,2.98,1,1,0,8,Low
PO-00037,Epsilon_Group,2022-10-12,2022-10-31,2022-10,2022,Office Supplies,Pending,797,99.54,91.37,18,Yes,79333.38,72821.89,6511.49,8.21,2.26,1,0,0,19,Low
PO-00038,Beta_Supplies,2022-06-09,2022-06-27,2022-06,2022,Office Supplies,Pending,906,101.21,90.9,94,Yes,91696.26,82355.4,9340.86,10.19,10.38,1,0,0,18,High
PO-00039,Epsilon_Group,2022-08-09,2022-08-23,2022-08,2022,Office Supplies,Delivered,1634,80.53,76.15,50,Yes,131586.02,124429.1,7156.92,5.44,3.06,1,1,0,14,Low
PO-00040,Epsilon_Group,2022-12-11,,2022-12,2022,Office Supplies,Delivered,524,46.28,39.65,14,Yes,24250.72,20776.6,3474.12,14.33,2.67,1,1,0,,Low
PO-00041,Beta_Supplies,2022-04-15,2022-04-27,2022-04,2022,Electronics,Delivered,1132,17.78,15.36,96,Yes,20126.96,17387.52,2739.44,13.61,8.48,1,1,0,12,High
PO-00042,Beta_Supplies,2022-04-05,2022-04-14,2022-04,2022,Office Supplies,Delivered,560,81.14,77.87,34,No,45438.4,43607.2,1831.2,4.03,6.07,0,1,0,9,High
PO-00043,Gamma_Co,2023-01-25,2023-02-02,2023-01,2023,Electronics,Delivered,1755,63.87,58.4,85,Yes,112091.85,102492.0,9599.85,8.56,4.84,1,1,0,8,Low
PO-00044,Epsilon_Group,2022-04-10,2022-04-17,2022-04,2022,MRO,Delivered,1549,48.9,42.42,48,Yes,75746.1,65708.58,10037.52,13.25,3.1,1,1,0,7,Low
PO-00045,Delta_Logistics,2023-01-03,2023-01-21,2023-01,2023,MRO,Delivered,749,97.07,94.16,123,Yes,72705.43,70525.84,2179.59,3.0,16.42,1,1,0,18,High
PO-00046,Alpha_Inc,2022-12-19,,2022-12,2022,Electronics,Delivered,1025,21.11,19.25,15,Yes,21637.75,19731.25,1906.5,8.81,1.46,1,1,0,,Low
PO-00047,Beta_Supplies,2023-09-11,2023-09-18,2023-09,2023,Raw Materials,Delivered,1856,59.77,50.81,191,Yes,110933.12,94303.36,16629.76,14.99,10.29,1,1,0,7,High
PO-00048,Epsilon_Group,2022-09-28,2022-10-14,2022-09,2022,Office Supplies,Delivered,239,11.46,11.28,4,Yes,2738.94,2695.92,43.02,1.57,1.67,1,1,0,16,Low
PO-00049,Delta_Logistics,2022-02-14,2022-03-05,2022-02,2022,Office Supplies,Pending,1007,52.44,46.06,167,Yes,52807.08,46382.42,6424.66,12.17,16.58,1,0,0,19,High
PO-00050,Alpha_Inc,2023-04-16,,2023-04,2023,MRO,Pending,736,16.2,15.33,18,Yes,11923.2,11282.88,640.32,5.37,2.45,1,0,0,,Low
PO-00051,Epsilon_Group,2023-07-04,2023-07-14,2023-07,2023,Electronics,Delivered,1007,22.56,19.59,0,Yes,22717.92,19727.13,2990.79,13.16,0.0,1,1,0,10,Low
PO-00052,Delta_Logistics,2022-05-08,,2022-05,2022,Office Supplies,Delivered,612,20.99,19.75,102,Yes,12845.88,12087.0,758.88,5.91,16.67,1,1,0,,High
PO-00053,Alpha_Inc,2023-01-23,2023-02-02,2023-01,2023,MRO,Pending,1949,72.53,63.26,48,No,141360.97,123293.74,18067.23,12.78,2.46,0,0,0,10,Medium
PO-00054,Delta_Logistics,2022-03-22,2022-03-28,2022-03,2022,Office Supplies,Cancelled,1640,77.92,76.41,262,No,127788.8,125312.4,2476.4,1.94,15.98,0,0,1,6,High
PO-00055,Beta_Supplies,2023-07-20,2023-08-07,2023-07,2023,Electronics,Delivered,1317,68.13,60.52,136,Yes,89727.21,79704.84,10022.37,11.17,10.33,1,1,0,18,High
PO-00056,Epsilon_Group,2022-10-28,2022-10-30,2022-10,2022,Raw Materials,Delivered,881,100.94,95.05,30,Yes,88928.14,83739.05,5189.09,5.84,3.41,1,1,0,2,Low
PO-00057,Delta_Logistics,2023-10-06,,2023-10,2023,Packaging,Delivered,1578,48.33,42.77,206,Yes,76264.74,67491.06,8773.68,11.5,13.05,1,1,0,,High
PO-00058,Delta_Logistics,2023-09-26,2023-10-01,2023-09,2023,MRO,Delivered,1204,39.29,35.44,0,Yes,47305.16,42669.76,4635.4,9.8,0.0,1,1,0,5,Low
PO-00059,Epsilon_Group,2023-01-06,2023-01-22,2023-01,2023,MRO,Pending,1558,93.46,91.27,39,Yes,145610.68,142198.66,3412.02,2.34,2.5,1,0,0,16,Low
PO-00060,Alpha_Inc,2023-08-15,2023-08-16,2023-08,2023,Packaging,Delivered,1892,32.99,28.81,35,Yes,62417.08,54508.52,7908.56,12.67,1.85,1,1,0,1,Low
PO-00061,Epsilon_Group,2022-07-16,2022-08-01,2022-07,2022,Packaging,Delivered,696,99.59,90.18,25,Yes,69314.64,62765.28,6549.36,9.45,3.59,1,1,0,16,Low
PO-00062,Delta_Logistics,2023-12-23,2024-01-03,2023-12,2023,MRO,Partially Delivered,70,12.37,11.04,10,Yes,865.9,772.8,93.1,10.75,14.29,1,0,0,11,High
PO-00063,Gamma_Co,2022-03-13,2022-03-15,2022-03,2022,Raw Materials,Delivered,890,98.26,93.14,49,Yes,87451.4,82894.6,4556.8,5.21,5.51,1,1,0,2,Medium
PO-00064,Alpha_Inc,2022-02-16,2022-03-04,2022-02,2022,MRO,Delivered,216,13.95,12.31,5,Yes,3013.2,2658.96,354.24,11.76,2.31,1,1,0,16,Low
PO-00065,Delta_Logistics,2023-11-09,2023-11-12,2023-11,2023,Packaging,Delivered,1347,100.13,94.3,200,Yes,134875.11,127022.1,7853.01,5.82,14.85,1,1,0,3,High
PO-00066,Gamma_Co,2022-08-22,2022-08-25,2022-08,2022,Office Supplies,Partially Delivered,437,59.51,56.45,25,No,26005.87,24668.65,1337.22,5.14,5.72,0,0,0,3,High
PO-00067,Alpha_Inc,2022-10-24,2022-10-26,2022-10,2022,Electronics,Delivered,650,103.84,88.28,12,Yes,67496.0,57382.0,10114.0,14.98,1.85,1,1,0,2,Low
PO-00068,Beta_Supplies,2022-03-23,2022-04-11,2022-03,2022,Office Supplies,Delivered,365,16.81,15.41,38,Yes,6135.65,5624.65,511.0,8.33,10.41,1,1,0,19,High
PO-00069,Epsilon_Group,2022-08-27,,2022-08,2022,Raw Materials,Cancelled,63,61.94,53.8,0,Yes,3902.22,3389.4,512.82,13.14,0.0,1,0,1,,Low
PO-00070,Alpha_Inc,2022-04-14,2022-04-22,2022-04,2022,MRO,Delivered,291,98.7,87.02,9,Yes,28721.7,25322.82,3398.88,11.83,3.09,1,1,0,8,Low
PO-00071,Alpha_Inc,2023-01-25,2023-02-08,2023-01,2023,MRO,Cancelled,826,60.5,57.18,18,Yes,49973.0,47230.68,2742.32,5.49,2.18,1,0,1,14,Low
PO-00072,Delta_Logistics,2022-10-12,2022-11-01,2022-10,2022,Electronics,Pending,1419,69.64,59.28,194,Yes,98819.16,84118.32,14700.84,14.88,13.67,1,0,0,20,High
PO-00073,Gamma_Co,2023-04-10,2023-04-27,2023-04,2023,Office Supplies,Delivered,614,78.06,73.95,40,Yes,47928.84,45405.3,2523.54,5.27,6.51,1,1,0,17,Medium
PO-00074,Alpha_Inc,2023-10-13,2023-10-28,2023-10,2023,Electronics,Delivered,947,56.25,54.25,19,Yes,53268.75,51374.75,1894.0,3.56,2.01,1,1,0,15,Low
PO-00075,Epsilon_Group,2023-01-09,2023-01-28,2023-01,2023,Raw Materials,Delivered,1413,70.47,69.65,0,Yes,99574.11,98415.45,1158.66,1.16,0.0,1,1,0,19,Low
PO-00076,Alpha_Inc,2022-06-16,,2022-06,2022,Office Supplies,Partially Delivered,141,64.15,58.32,0,Yes,9045.15,8223.12,822.03,9.09,0.0,1,0,0,,Low
PO-00077,Alpha_Inc,2023-01-15,2023-02-04,2023-01,2023,Office Supplies,Delivered,1440,96.57,83.87,36,Yes,139060.8,120772.8,18288.0,13.15,2.5,1,1,0,20,Low
PO-00078,Delta_Logistics,2022-12-30,2023-01-03,2022-12,2022,Raw Materials,Delivered,1005,14.87,12.79,0,No,14944.35,12853.95,2090.4,13.99,0.0,0,1,0,4,Medium
PO-00079,Alpha_Inc,2022-08-03,,2022-08,2022,MRO,Delivered,1528,36.52,33.0,31,No,55802.56,50424.0,5378.56,9.64,2.03,0,1,0,,Medium
PO-00080,Gamma_Co,2023-11-18,2023-11-25,2023-11,2023,MRO,Delivered,1501,106.05,100.99,77,No,159181.05,151585.99,7595.06,4.77,5.13,0,1,0,7,High
PO-00081,Delta_Logistics,2022-10-01,2022-10-04,2022-10,2022,Packaging,Delivered,558,94.18,81.4,0,No,52552.44,45421.2,7131.24,13.57,0.0,0,1,0,3,Medium
PO-00082,Beta_Supplies,2023-12-20,2023-12-26,2023-12,2023,MRO,Delivered,825,56.88,50.84,0,Yes,46926.0,41943.0,4983.0,10.62,0.0,1,1,0,6,Low
PO-00083,Beta_Supplies,2023-12-01,2023-12-07,2023-12,2023,Electronics,Cancelled,84,73.38,71.42,9,Yes,6163.92,5999.28,164.64,2.67,10.71,1,0,1,6,High
PO-00084,Delta_Logistics,2023-10-26,2023-11-10,2023-10,2023,Raw Materials,Delivered,255,38.64,33.59,27,No,9853.2,8565.45,1287.75,13.07,10.59,0,1,0,15,High
PO-00085,Gamma_Co,2022-03-15,2022-03-31,2022-03,2022,MRO,Delivered,1154,27.2,26.07,58,Yes,31388.8,30084.78,1304.02,4.15,5.03,1,1,0,16,Medium
PO-00086,Delta_Logistics,2023-09-16,2023-09-24,2023-09,2023,Office Supplies,Delivered,1635,56.91,54.37,262,No,93047.85,88894.95,4152.9,4.46,16.02,0,1,0,8,High
PO-00087,Delta_Logistics,2023-10-13,2023-10-23,2023-10,2023,Raw Materials,Delivered,1945,46.19,40.12,278,No,89839.55,78033.4,11806.15,13.14,14.29,0,1,0,10,High
PO-00088,Delta_Logistics,2022-06-25,2022-07-10,2022-06,2022,MRO,Partially Delivered,1461,64.09,63.39,228,No,93635.49,92612.79,1022.7,1.09,15.61,0,0,0,15,High
PO-00089,Delta_Logistics,2023-07-01,2023-07-09,2023-07,2023,Electronics,Delivered,1075,18.53,16.12,147,Yes,19919.75,17329.0,2590.75,13.01,13.67,1,1,0,8,High
PO-00090,Alpha_Inc,2022-09-08,,2022-09,2022,Packaging,Delivered,1071,101.6,93.91,25,Yes,108813.6,100577.61,8235.99,7.57,2.33,1,1,0,,Low
PO-00091,Epsilon_Group,2022-06-17,2022-07-06,2022-06,2022,Packaging,Pending,1463,101.23,86.17,43,Yes,148099.49,126066.71,22032.78,14.88,2.94,1,0,0,19,Low
PO-00092,Beta_Supplies,2023-04-19,2023-04-26,2023-04,2023,Raw Materials,Delivered,615,78.3,73.68,69,Yes,48154.5,45313.2,2841.3,5.9,11.22,1,1,0,7,High
PO-00093,Gamma_Co,2023-01-24,2023-02-11,2023-01,2023,Electronics,Delivered,1179,61.74,56.28,0,Yes,72791.46,66354.12,6437.34,8.84,0.0,1,1,0,18,Low
PO-00094,Alpha_Inc,2022-10-04,2022-10-09,2022-10,2022,Electronics,Partially Delivered,1845,39.56,37.63,45,Yes,72988.2,69427.35,3560.85,4.88,2.44,1,0,0,5,Low
PO-00095,Beta_Supplies,2023-10-18,,2023-10,2023,Electronics,Cancelled,1895,91.98,86.27,170,Yes,174302.1,163481.65,10820.45,6.21,8.97,1,0,1,,High
PO-00096,Epsilon_Group,2023-12-06,2023-12-09,2023-12,2023,MRO,Partially Delivered,1550,79.86,69.57,32,No,123783.0,107833.5,15949.5,12.89,2.06,0,0,0,3,Medium
PO-00097,Delta_Logistics,2023-07-25,2023-08-04,2023-07,2023,Packaging,Delivered,752,26.85,24.37,0,No,20191.2,18326.24,1864.96,9.24,0.0,0,1,0,10,Medium
PO-00098,Epsilon_Group,2022-08-13,2022-09-01,2022-08,2022,Electronics,Delivered,451,95.2,90.07,21,Yes,42935.2,40621.57,2313.63,5.39,4.66,1,1,0,19,Low
PO-00099,Beta_Supplies,2023-12-03,,2023-12,2023,Office Supplies,Delivered,779,93.69,90.92,66,Yes,72984.51,70826.68,2157.83,2.96,8.47,1,1,0,,High
PO-00100,Beta_Supplies,2022-11-29,2022-12-14,2022-11,2022,MRO,Pending,1629,100.26,86.44,187,No,163323.54,140810.76,22512.78,13.78,11.48,0,0,0,15,High
PO-00101,Alpha_Inc,2022-02-27,2022-02-22,2022-02,2022,Office Supplies,Delivered,211,75.69,65.4,2,Yes,15970.59,13799.4,2171.19,13.59,0.95,1,1,0,-5,Low
PO-00102,Alpha_Inc,2022-08-23,,2022-08,2022,Office Supplies,Delivered,251,67.49,64.48,2,Yes,16939.99,16184.48,755.51,4.46,0.8,1,1,0,,Low
PO-00103,Gamma_Co,2022-02-02,2022-02-18,2022-02,2022,Raw Materials,Delivered,1045,47.88,44.65,69,Yes,50034.6,46659.25,3375.35,6.75,6.6,1,1,0,16,Medium
PO-00104,Delta_Logistics,2022-11-20,2022-12-10,2022-11,2022,MRO,Delivered,319,98.64,89.15,57,Yes,31466.16,28438.85,3027.31,9.62,17.87,1,1,0,20,High
PO-00105,Epsilon_Group,2023-02-15,2023-03-01,2023-02,2023,Office Supplies,Partially Delivered,1936,93.66,92.24,58,Yes,181325.76,178576.64,2749.12,1.52,3.0,1,0,0,14,Low
PO-00106,Delta_Logistics,2022-10-02,2022-10-22,2022-10,2022,MRO,Cancelled,865,14.7,13.14,135,No,12715.5,11366.1,1349.4,10.61,15.61,0,0,1,20,High
PO-00107,Epsilon_Group,2022-03-09,2022-03-12,2022-03,2022,Electronics,Delivered,1344,12.5,10.87,44,Yes,16800.0,14609.28,2190.72,13.04,3.27,1,1,0,3,Low
PO-00108,Delta_Logistics,2022-08-05,2022-08-24,2022-08,2022,Raw Materials,Pending,505,45.42,40.37,62,Yes,22937.1,20386.85,2550.25,11.12,12.28,1,0,0,19,High
PO-00109,Beta_Supplies,2023-08-04,2023-08-05,2023-08,2023,Packaging,Delivered,1535,90.83,78.28,151,No,139424.05,120159.8,19264.25,13.82,9.84,0,1,0,1,High
PO-00110,Beta_Supplies,2022-11-19,,2022-11,2022,Office Supplies,Delivered,1800,103.8,96.27,166,Yes,186840.0,173286.0,13554.0,7.25,9.22,1,1,0,,High
PO-00111,Delta_Logistics,2022-08-06,2022-08-15,2022-08,2022,Raw Materials,Pending,1325,24.36,22.75,206,Yes,32277.0,30143.75,2133.25,6.61,15.55,1,0,0,9,High
PO-00112,Gamma_Co,2023-11-03,2023-11-09,2023-11,2023,Raw Materials,Delivered,1066,70.45,65.88,56,No,75099.7,70228.08,4871.62,6.49,5.25,0,1,0,6,High
PO-00113,Beta_Supplies,2023-05-27,2023-06-11,2023-05,2023,Raw Materials,Delivered,1775,47.82,45.86,180,Yes,84880.5,81401.5,3479.0,4.1,10.14,1,1,0,15,High
PO-00114,Gamma_Co,2023-02-10,,2023-02,2023,Raw Materials,Partially Delivered,345,103.62,98.09,25,No,35748.9,33841.05,1907.85,5.34,7.25,0,0,0,,High
PO-00115,Beta_Supplies,2023-10-21,2023-11-09,2023-10,2023,Electronics,Delivered,1798,94.8,91.83,0,Yes,170450.4,165110.34,5340.06,3.13,0.0,1,1,0,19,Low
PO-00116,Alpha_Inc,2023-04-15,2023-05-01,2023-04,2023,MRO,Delivered,769,91.86,86.55,17,Yes,70640.34,66556.95,4083.39,5.78,2.21,1,1,0,16,Low
PO-00117,Alpha_Inc,2022-05-27,,2022-05,2022,Packaging,Delivered,1822,53.23,47.49,39,Yes,96985.06,86526.78,10458.28,10.78,2.14,1,1,0,,Low
PO-00118,Delta_Logistics,2022-09-29,2022-10-13,2022-09,2022,Packaging,Delivered,387,49.23,45.41,61,Yes,19052.01,17573.67,1478.34,7.76,15.76,1,1,0,14,High
PO-00119,Epsilon_Group,2022-05-23,2022-05-27,2022-05,2022,MRO,Delivered,928,35.3,32.52,26,Yes,32758.4,30178.56,2579.84,7.88,2.8,1,1,0,4,Low
PO-00120,Alpha_Inc,2022-09-10,2022-09-21,2022-09,2022,Packaging,Partially Delivered,1126,15.68,14.97,27,Yes,17655.68,16856.22,799.46,4.53,2.4,1,0,0,11,Low
PO-00121,Beta_Supplies,2023-07-29,2023-08-14,2023-07,2023,Raw Materials,Cancelled,841,95.73,85.33,81,Yes,80508.93,71762.53,8746.4,10.86,9.63,1,0,1,16,High
PO-00122,Beta_Supplies,2023-07-06,2023-07-19,2023-07,2023,Electronics,Delivered,1995,90.65,77.75,206,Yes,180846.75,155111.25,25735.5,14.23,10.33,1,1,0,13,High
PO-00123,Alpha_Inc,2022-09-27,2022-10-15,2022-09,2022,Raw Materials,Delivered,266,103.97,101.44,6,Yes,27656.02,26983.04,672.98,2.43,2.26,1,1,0,18,Low
PO-00124,Alpha_Inc,2023-08-22,2023-08-25,2023-08,2023,Raw Materials,Cancelled,813,109.17,107.39,14,Yes,88755.21,87308.07,1447.14,1.63,1.72,1,0,1,3,Low
PO-00125,Epsilon_Group,2023-03-15,2023-03-26,2023-03,2023,Electronics,Delivered,237,64.19,59.01,7,Yes,15213.03,13985.37,1227.66,8.07,2.95,1,1,0,11,Low
PO-00126,Alpha_Inc,2023-08-21,2023-09-03,2023-08,2023,Office Supplies,Cancelled,429,86.73,75.09,9,Yes,37207.17,32213.61,4993.56,13.42,2.1,1,0,1,13,Low
PO-00127,Delta_Logistics,2023-02-13,2023-02-14,2023-02,2023,Packaging,Delivered,542,101.21,93.11,78,No,54855.82,50465.62,4390.2,8.0,14.39,0,1,0,1,High
PO-00128,Epsilon_Group,2023-01-06,2023-01-24,2023-01,2023,Electronics,Delivered,1114,91.66,85.53,35,Yes,102109.24,95280.42,6828.82,6.69,3.14,1,1,0,18,Low
PO-00129,Alpha_Inc,2022-08-13,2022-08-15,2022-08,2022,MRO,Delivered,1230,33.39,30.85,26,Yes,41069.7,37945.5,3124.2,7.61,2.11,1,1,0,2,Low
PO-00130,Beta_Supplies,2022-05-22,2022-06-03,2022-05,2022,MRO,Delivered,64,51.56,50.88,5,Yes,3299.84,3256.32,43.52,1.32,7.81,1,1,0,12,Medium
PO-00131,Alpha_Inc,2023-06-06,2023-06-22,2023-06,2023,MRO,Delivered,1886,23.46,23.18,0,Yes,44245.56,43717.48,528.08,1.19,0.0,1,1,0,16,Low
PO-00132,Delta_Logistics,2023-05-21,2023-05-23,2023-05,2023,Office Supplies,Delivered,114,103.53,101.54,14,Yes,11802.42,11575.56,226.86,1.92,12.28,1,1,0,2,High
PO-00133,Delta_Logistics,2022-04-04,2022-04-22,2022-04,2022,Electronics,Cancelled,1930,65.52,56.9,282,Yes,126453.6,109817.0,16636.6,13.16,14.61,1,0,1,18,High
PO-00134,Beta_Supplies,2022-02-18,2022-02-28,2022-02,2022,Office Supplies,Pending,1912,30.73,29.82,191,Yes,58755.76,57015.84,1739.92,2.96,9.99,1,0,0,10,High
PO-00135,Epsilon_Group,2022-04-23,2022-05-09,2022-04,2022,MRO,Delivered,570,71.51,66.47,0,Yes,40760.7,37887.9,2872.8,7.05,0.0,1,1,0,16,Low
PO-00136,Beta_Supplies,2022-06-06,2022-06-26,2022-06,2022,Raw Materials,Delivered,1417,67.27,60.62,0,Yes,95321.59,85898.54,9423.05,9.89,0.0,1,1,0,20,Low
PO-00137,Alpha_Inc,2023-10-05,2023-10-11,2023-10,2023,Raw Materials,Delivered,1202,46.67,44.13,21,No,56097.34,53044.26,3053.08,5.44,1.75,0,1,0,6,Medium
PO-00138,Beta_Supplies,2022-06-13,2022-06-14,2022-06,2022,Office Supplies,Delivered,697,20.73,19.83,78,No,14448.81,13821.51,627.3,4.34,11.19,0,1,0,1,High
PO-00139,Epsilon_Group,2023-11-28,2023-12-01,2023-11,2023,MRO,Delivered,1545,78.19,76.91,42,Yes,120803.55,118825.95,1977.6,1.64,2.72,1,1,0,3,Low
PO-00140,Gamma_Co,2023-03-09,2023-03-13,2023-03,2023,MRO,Partially Delivered,1136,60.81,58.25,62,Yes,69080.16,66172.0,2908.16,4.21,5.46,1,0,0,4,Medium
PO-00141,Beta_Supplies,2023-09-03,2023-09-07,2023-09,2023,MRO,Delivered,1212,87.46,74.55,118,No,106001.52,90354.6,15646.92,14.76,9.74,0,1,0,4,High
